date-time;min;max;median;mean;std;sum
2016-01-31;201.822;3958.01;1359.27;1566.9940894117601;790.0633562708022;4661807.415999986
2016-02-29;244.085;4692.78;1529.975;1679.8883089080514;823.6425778832926;4676809.052000015
2016-03-31;135.374;3702.31;1286.1599999999999;1404.724345222077;745.2308690966307;4174840.754000013
2016-04-30;158.899;4330.29;1658.12;1656.1020059027796;883.3825303707345;4769573.777000005
2016-05-31;139.108;4571.09;1769.005;1749.4578904569846;891.4123390373275;5206386.681999986
2016-06-30;412.86;4292.27;1957.0549999999998;2004.032484722218;741.0883964937541;5771613.555999988
2016-07-31;361.957;4152.58;1921.755;1961.9658037634367;623.7741246640097;5838810.231999988
2016-08-31;271.034;3814.62;1810.2150000000001;1912.6812567204306;636.1775154376572;5692139.420000002
2016-09-30;432.077;4036.2;1751.2649999999999;1956.640120833328;651.3862419891171;5635123.547999985
2016-10-31;164.024;4912.13;2172.665;2229.1582147650947;892.2118505654734;6642891.479999983
2016-11-30;347.024;3672.94;2004.2150000000001;2160.4781680555498;776.736098816614;6222177.123999983
2016-12-31;177.824;4173.31;943.7075;1220.304911962373;682.8822756394408;3631627.418000022
2017-01-31;260.008;4378.08;1110.505;1342.5549277553778;698.2967953307515;3995443.4650000045
2017-02-28;224.889;3876.92;1160.915;1366.5939561011924;675.9251653010136;3673404.554000005
2017-03-31;180.81599999999997;3693.01;1131.5149999999999;1210.2262432705295;631.3648653926638;3596792.395000014
2017-04-30;245.016;3792.48;1128.1100000000001;1235.2660996527795;683.9682259825703;3557566.3670000047
2017-05-31;221.919;3797.97;1686.29;1742.0837550403223;778.1919544029597;5184441.254999999
2017-06-30;0.0;4022.94;2268.12;2214.9445892361114;765.1722932894373;6379040.417
2017-07-31;556.774;4037.22;1937.5749999999998;2049.9182701612935;609.945581948345;6100556.77200001
2017-08-31;926.387;4210.92;2105.8;2147.9161575940757;583.9158419628806;6392198.48499997
2017-09-30;290.66200000000003;3706.67;1921.4450000000002;1997.1006041666628;653.3953606497657;5751649.739999989
2017-10-31;156.82399999999998;4218.41;1528.665;1573.6054174496674;739.8607353955621;4689344.144000009
2017-11-30;255.861;3430.12;1309.29;1362.1535187500037;669.1457955588669;3923002.134000011
2017-12-31;57.824;3451.94;1035.52;1416.4330994623704;885.9040169187845;4215304.904000014
2018-01-31;257.608;4168.49;1139.755;1350.6945036962386;648.4609363297953;4019666.843000006
2018-02-28;162.43200000000002;3513.46;1244.845;1377.592973586308;684.6237209551779;3702969.912999996
2018-03-31;151.124;3897.65;1693.455;1615.9767910498028;826.250446210892;4802683.023000014
2018-04-30;149.024;4025.44;1340.045;1386.0897909722207;745.8866182399261;3991938.5979999956
2018-05-31;216.649;4299.21;1993.355;1962.995879704306;835.2024645595673;5841875.738000015
2018-06-30;561.526;4255.39;2208.615;2216.860018055556;723.60712243521;6384556.852000001
2018-07-31;291.233;3948.95;1719.525;1828.136207661296;590.8467880392238;5440533.354000017
2018-08-31;889.1160000000001;4626.29;2085.6800000000003;2092.9577237903163;660.1098790090385;6228642.185999981
2018-09-30;145.116;4181.83;1869.305;1905.5398020833345;799.4271457191945;5487954.630000004
2018-10-31;287.624;3982.05;1546.1550000000002;1666.6394869127523;706.2687854806228;4966585.671000002
2018-11-30;406.716;4632.95;1496.88;1671.0518333333373;720.983696683364;4812629.280000011
2018-12-31;212.308;4642.75;1194.63;1363.086974462371;833.1222359538365;4056546.8360000164
2019-01-31;191.908;191.908;191.908;191.908;;191.908
