date-time;min;max;median;mean;std;sum
2016-01-03;201.822;1278.52;411.216;421.1199860627173;126.06086695070539;120861.43599999987
2016-01-10;330.816;3430.99;1203.665;1435.690724702381;686.9530571828627;964784.167
2016-01-17;602.016;3249.45;1496.3000000000002;1646.562610119047;670.5448671693642;1106490.0739999996
2016-01-24;694.1160000000001;3934.39;1628.7649999999999;1893.4029077380987;732.8385231350031;1272366.7540000023
2016-01-31;724.9989999999999;3958.01;1483.27;1781.7038467261948;750.4186560267118;1197304.985000003
2016-02-07;738.2080000000001;3964.71;1861.71;1943.4222470238124;876.1453291861266;1305979.7500000019
2016-02-14;699.4989999999999;4692.78;1524.72;1805.9345431547652;719.3475738131064;1213588.0130000021
2016-02-21;244.085;3310.14;1572.065;1679.8027127976213;875.117691396273;1128827.4230000016
2016-02-28;352.69599999999997;4230.83;1023.185;1314.868123511905;709.8251757000736;883591.3790000002
2016-03-06;135.374;3101.18;1115.76;1284.7758184523811;629.7704291550432;863369.3500000001
2016-03-13;368.50300000000004;3702.31;1776.79;1689.3712916666689;958.5704607362723;1135257.5080000015
2016-03-20;259.70799999999997;2917.22;1073.6;1249.6010937500012;649.202333993005;839731.9350000008
2016-03-27;409.173;3355.73;1308.5;1352.804600299402;647.260701314563;903673.4730000006
2016-04-03;475.408;2653.95;1191.22;1362.3995714285713;614.5681117054041;915532.5119999999
2016-04-10;299.385;3518.56;1231.71;1394.2777217261896;788.0850100687146;936954.6289999995
2016-04-17;613.408;3582.25;1968.505;2143.395175595239;659.508474580514;1440361.5580000004
2016-04-24;282.558;4330.29;1569.29;1622.9891815476196;1019.707253623264;1090648.7300000004
2016-05-01;139.108;3498.58;1479.8400000000001;1465.6912098214289;983.6797309294903;984944.4930000002
2016-05-08;292.408;3717.56;1070.04;1243.9966235119048;639.8449245734835;835965.731
2016-05-15;395.534;2970.98;1089.0149999999999;1245.6174464285725;577.2317584245452;837054.9240000007
2016-05-22;511.384;3442.4;2074.855;2065.1024062500032;822.6323076039068;1387748.8170000021
2016-05-29;1380.22;4571.09;2267.46;2449.931622023813;634.6500528047605;1646354.0500000024
2016-06-05;1180.66;3628.02;2164.66;2351.549955357146;605.9532245409648;1580241.570000002
2016-06-12;1344.65;4292.27;2246.375;2385.8269047619065;622.2495514644502;1603275.680000001
2016-06-19;412.86;3445.57;1687.905;1682.7144806547662;756.0652144306721;1130784.1310000028
2016-06-26;627.888;3538.46;1955.745;1886.757775297618;756.0621345129349;1267901.2249999994
2016-07-03;361.957;3460.95;1747.15;1754.1312425595256;628.2037389053474;1178776.1950000012
2016-07-10;667.802;3627.89;2333.34;2179.851098214286;576.5489387776227;1464859.9380000003
2016-07-17;1079.41;4152.58;1820.0149999999999;2034.8249702380958;709.896997268301;1367402.3800000004
2016-07-24;1123.53;3777.88;1747.7199999999998;1906.2741220238083;552.5902790729359;1281016.2099999993
2016-07-31;819.503;3240.55;1645.655;1806.834001488096;551.4771846740709;1214192.4490000005
2016-08-07;271.034;3329.72;1507.69;1642.7254017857142;546.7958382862521;1103911.47
2016-08-14;991.3739999999999;3795.52;1846.155;1881.9231607142865;583.8678189720273;1264652.3640000005
2016-08-21;902.2739999999999;3814.62;2003.925;2032.7818749999985;708.8396838937994;1366029.419999999
2016-08-28;953.8489999999999;3764.09;1761.04;1955.347419642854;628.8490004914888;1313993.465999998
2016-09-04;1022.64;3195.59;1797.915;1987.7152678571433;597.7670715519727;1335744.6600000004
2016-09-11;670.09;4036.2;1817.4;2024.6237410714316;568.6850187201231;1360547.154000002
2016-09-18;1072.39;3724.53;2213.9700000000003;2216.1532291666726;681.1410945740801;1489254.970000004
2016-09-25;432.077;3520.67;1744.09;1903.5609151785736;592.5967090067305;1279192.9350000015
2016-10-02;286.116;3422.02;1527.22;1565.5641309523805;680.2661885967291;1052059.0959999997
2016-10-09;316.124;4713.01;2700.505;2494.5447991071464;831.227434642258;1676334.1050000025
2016-10-16;1071.82;4693.63;2372.685;2449.6309970238135;903.8917134475201;1646152.0300000028
2016-10-23;1221.82;4912.13;1990.225;2223.5519791666684;699.9198665187618;1494226.930000001
2016-10-30;164.024;3906.22;1948.12;1988.802822485208;958.5135890063257;1344430.7080000006
2016-11-06;1265.92;3481.26;2005.5549999999998;2299.9678422619104;710.882245582633;1545578.3900000039
2016-11-13;1368.22;3672.94;2160.06;2420.197946428575;690.1874633689054;1626373.0200000023
2016-11-20;1140.33;3478.13;2081.165;2249.7668750000043;656.3807684459917;1511843.3400000029
2016-11-27;347.024;3384.17;1886.1599999999999;1876.6474345238098;927.8111870270197;1261107.0760000001
2016-12-04;485.908;3516.33;1207.705;1444.2026726190486;684.3936574103918;970504.1960000007
2016-12-11;371.608;3328.72;1292.9;1421.111421130954;703.4664928532161;954986.8750000012
2016-12-18;454.416;4173.31;1197.995;1478.4880431547633;758.5477481430645;993543.9650000009
2016-12-25;199.416;2837.87;1000.6995;1237.634604166666;650.2050166107872;831690.4539999994
2017-01-01;177.824;1418.02;688.8;683.5324434523812;217.88755012673244;459333.8020000002
2017-01-08;416.624;4378.08;1100.0149999999999;1341.3321488095232;802.2717279306012;901375.2039999996
2017-01-15;336.61699999999996;2780.31;1009.735;1264.4613199404769;620.2167744272884;849718.0070000004
2017-01-22;260.008;2523.18;1070.305;1320.1485922619036;594.0753874961722;887139.8539999992
2017-01-29;398.316;3745.94;1188.8049999999998;1419.647886904761;686.852817811783;954003.3799999993
2017-02-05;356.616;3109.08;1198.705;1425.31769642857;753.0480496995519;957813.4919999989
